x A,K A,SE A,x B,K B,SE B,x C,K C,SE C,x D,K D,SE D,x B LR 1,K B LR 1,SE B LR 1,x D LR 1,K D LR 1,SE D LR 1,x E LR 2,K E LR 2,SE E LR 2,X lowess,K lowess,SE -,SE +
0.015,0.0850193662025657,0.014017631557269,0.0025,0.0725688008767464,0,0.003,0.0730514031176179,0.217529139233886,0,0.0164701423101333,0.0004454672110514,0.026,0.0342449981085152,0.00735030479868898,0,0.00302632506365118,0.00097163499626934,0,0.0216658572655848,0.0068207212056512,0,0.0290326937345,-0.0060710294682,0.0641364169372
0.03,0.0992642689216207,0.00423821403847745,0.0245,1.7359880102177,0.143913739444708,0.0275,1.32471806355348,0.127385716940933,0.03,0.784769175247629,0.150097779166781,0.052,0.117141103037035,0.0179931291358123,0.01,0.0218124599175156,0,0.03,0.256012244012316,0.0348447980093486,0,0.0290326937345,-0.0060710294682,0.0641364169372
0.045,0.391216790579833,0.0621137480215451,0.0275,1.71121902241999,0.0808634185660028,0.0505,0.887977432044491,0.0625258702235121,0.06,2.74518164123945,0.139657514718355,0.147,0.180224444515162,0.021023374703927,0.02,0.0413851038022352,0,0.06,2.989826969981,0.10334119449655,0,0.0290326937345,-0.0060710294682,0.0641364169372
0.06,0.374468178783315,0.0168873340149055,0.0275,1.71121902241999,0.224552756518831,0.0735,1.43367317651144,0.10596951736908,0.09,3.22869797782674,0.0406036449972552,0.183,1.39736916270584,0.136339190089322,0.03,0.445749054435994,0,0.09,1.20589002995734,0.0867174738723599,0.0025,0.0362151063396,0.0152384184871,0.0571917941921
0.075,1.89162507726265,0.125811899542653,0.0505,2.80228855249954,0.224552756518831,0.0965,4.93470667655803,0.259682423751257,0.12,3.81711044311123,0.15511125959362,0.198,1.05672278262496,0,0.04,4.02590084032777,0,0.12,3.7092182846257,0,0.003,0.0376995369536,0.0092266968355,0.0661723770717
0.09,1.58233047060743,0.15045330690515,0.0535,3.09821780728778,0.309161395018252,0.1095,5.04314635872855,0.143464770222273,0.15,2.93462861510036,0.317134936354395,,,,,,,,,,0.01,0.0623119847453,-0.0262276561177,0.1508516256083
0.105,2.52897950312403,0.123900547094316,0.0765,1.94880602205879,0.15536186802448,0.1175,18.9384404206658,1.44338993628217,0.18,5.37791534726897,0.85316087581706,,,,,,,,,,0.015,0.123781743356,-0.014251549069,0.261815035781
0.135,2.3950070129078,0.164952633784058,0.0995,3.45879069633184,0.211205820197537,,,,,,,,,,,,,,,,0.02,0.437987301622,0.172944311662,0.703030291582
0.15,10.5731769251372,0.430220271562151,0.1225,6.51062607765687,0.302410283751985,,,,,,,,,,,,,,,,0.0245,1.08055270881,0.661530531979,1.499574885641
,,,0.1485,7.27944202276418,0.567011145700148,,,,,,,,,,,,,,,,0.026,1.30864839072,0.890255686169,1.727041095271
,,,0.1715,2.90143045874067,0.194670112207509,,,,,,,,,,,,,,,,0.0275,1.03957751717,0.690960809025,1.388194225315
,,,0.1975,4.36432984450128,0.50349446719976,,,,,,,,,,,,,,,,0.0275,1.03957751717,0.690960809025,1.388194225315
,,,,,,,,,,,,,,,,,,,,,0.0275,1.03957751717,0.690960809025,1.388194225315
,,,,,,,,,,,,,,,,,,,,,0.03,0.532612728526,0.381945204708,0.683280252344
,,,,,,,,,,,,,,,,,,,,,0.03,0.532612728526,0.381945204708,0.683280252344
,,,,,,,,,,,,,,,,,,,,,0.03,0.532612728526,0.381945204708,0.683280252344
,,,,,,,,,,,,,,,,,,,,,0.03,0.532612728526,0.381945204708,0.683280252344
,,,,,,,,,,,,,,,,,,,,,0.04,1.77134637905,1.034227379235,2.508465378865
,,,,,,,,,,,,,,,,,,,,,0.045,2.12971566682,1.228354057122,3.031077276518
,,,,,,,,,,,,,,,,,,,,,0.0505,1.85949062413,1.106250779946,2.612730468314
,,,,,,,,,,,,,,,,,,,,,0.0505,1.85949062413,1.106250779946,2.612730468314
,,,,,,,,,,,,,,,,,,,,,0.052,1.86578946273,1.157501759584,2.574077165876
,,,,,,,,,,,,,,,,,,,,,0.0535,1.85658287347,1.196382775916,2.516782971024
,,,,,,,,,,,,,,,,,,,,,0.06,2.1780018853,1.754396322274,2.601607448326
,,,,,,,,,,,,,,,,,,,,,0.06,2.1780018853,1.754396322274,2.601607448326
,,,,,,,,,,,,,,,,,,,,,0.06,2.1780018853,1.754396322274,2.601607448326
,,,,,,,,,,,,,,,,,,,,,0.0735,1.85061605572,1.617609500961,2.083622610479
,,,,,,,,,,,,,,,,,,,,,0.075,1.87536452775,1.597602012216,2.153127043284
,,,,,,,,,,,,,,,,,,,,,0.0765,1.83392034876,1.57064220322,2.0971984943
,,,,,,,,,,,,,,,,,,,,,0.09,2.53708670373,1.886499001888,3.187674405572
,,,,,,,,,,,,,,,,,,,,,0.09,2.53708670373,1.886499001888,3.187674405572
,,,,,,,,,,,,,,,,,,,,,0.09,2.53708670373,1.886499001888,3.187674405572
,,,,,,,,,,,,,,,,,,,,,0.0965,3.0453744188,2.049915277187,4.040833560413
,,,,,,,,,,,,,,,,,,,,,0.0995,3.3873345406,2.2304932587,4.5441758225
,,,,,,,,,,,,,,,,,,,,,0.105,3.91778392608,3.177421593249,4.658146258911
,,,,,,,,,,,,,,,,,,,,,0.1095,3.99114412794,2.8391502808,5.14313797508
,,,,,,,,,,,,,,,,,,,,,0.1175,4.19215533767,2.99266451787,5.39164615747
,,,,,,,,,,,,,,,,,,,,,0.12,4.16998702016,2.89504622947,5.44492781085
,,,,,,,,,,,,,,,,,,,,,0.12,4.16998702016,2.89504622947,5.44492781085
,,,,,,,,,,,,,,,,,,,,,0.1225,4.10922052561,2.83451671953,5.38392433169
,,,,,,,,,,,,,,,,,,,,,0.135,3.81277442427,2.15475458146,5.47079426708
,,,,,,,,,,,,,,,,,,,,,0.147,3.49348510881,0.906514465719999,6.0804557519
,,,,,,,,,,,,,,,,,,,,,0.1485,3.44643906731,0.71225658164,6.18062155298
,,,,,,,,,,,,,,,,,,,,,0.15,3.42014941454,0.50243027957,6.33786854951
,,,,,,,,,,,,,,,,,,,,,0.15,3.42014941454,0.50243027957,6.33786854951
,,,,,,,,,,,,,,,,,,,,,0.1715,3.26458023649,1.29399109293,5.23516938005
,,,,,,,,,,,,,,,,,,,,,0.18,3.04753260277,1.3714018899,4.72366331564
,,,,,,,,,,,,,,,,,,,,,0.183,2.97375834267,1.4317083756,4.51580830974
,,,,,,,,,,,,,,,,,,,,,0.1975,2.59921155747,2.035761106003,3.162662008937
,,,,,,,,,,,,,,,,,,,,,0.198,2.58590981003,2.08616096038,3.08565865968
