totals length (m),genotype,namess,integral6pointSum
1.22,col,15012020-1045-cut-n-flow-archi2,81
4.47,col,160316#2-cut-n-flow-archi2,272
2.5,col,200219-YBFB-Col-cut-n-flow-archi2,152
1.52,col,200619-YBFB-Col-1-cut-n-flow-archi2,106
2.8,col,200619-YBFB-Col-2-cut-n-flow-archi2,166
2.78,col,200702-YBFB-Col-1-cut-n-flow-archi2,180
3.36,col,200703-YBFB-Col-2-cut-n-flow-archi2,184
2.13,col,200703-YBFB-Col-3-cut-n-flow-archi2,145
2.37,col,200724-YBFB-Col-1-cut-n-flow-archi2,130
0.78,col,2020-01-19-9h06-cut-n-flow-archi2,57
1.87,col,20-06-09-FB-160212-3-Col,139
1.59,col,20-06-09-FB-160212-4-Col,121
1.62,col,20-06-09-FB-hydroroot-1ter,131
0.7,col,20-06-09-FB-hydroroot-5,55
1.87,col,20-06-09-FB-hydroroot-7,129
1.11,col,20-06-10-FB-hydroroot-8,100
2.11,col,20-06-16-FB-170426_ch3G1,152
2.09,col,20-06-16-FB-170426_ch4G1c,150
1.13,col,200721-YBFB-Col-2-correct-scale,83
0.78,col,200812-YBFB-col-2,54
1.71,col,2019-12-13_arabido_1_left_cor,101
1.79,col,15012020-1045-cut-n-flow-archi2,NA
1.86,col,160316#2-cut-n-flow-archi2,55
1.41,col,200219-YBFB-Col-cut-n-flow-archi2,149
1.61,col,20-06-09-FB-160212-3-Col,50
2.08,col,20-06-09-FB-160212-4-Col,121
1.6,col,20-06-09-FB-hydroroot-1ter,149
1.53,e11,200619-YBFB-e11-2-cut-n-flow-archi0,94
0.63,e11,200703-YBFB-e11-3-cut-n-flow-archi0,111
0.73,e11,200721-YBFB-e11-2-cut-n-flow-archi0,82
2.28,e11,200724-YBFB-e11-2-cut-n-flow-archi2,84
0.65,e11,200812-YBFB-e11-3-cut-n-flow-archi0,36
0.65,e11,180718-e11ch1-1,99
1.58,e11,180719-e11ch1-1,48
1.23,e11,180828-e11-1,106
1.41,e11,esk11-2,91
1.88,e11,esk11-26,85
1.45,e11,esk11-29,118
2.66,e11,esk11-40,86
2.09,e11,esk11-52,138
1.66,e11,esk11-59,94
1.45,e11,esk11-7,90
1.02,e11,200619-YBFB-Col-1-cut-n-flow-archi2,84
1.01,e11,200619-YBFB-Col-2-cut-n-flow-archi2,120
0.9,e11,200702-YBFB-Col-1-cut-n-flow-archi2,62
0.8,e11,200703-YBFB-Col-2-cut-n-flow-archi2,54
0.66,e11,20-06-09-FB-hydroroot-5,65
0.74,e11,20-06-09-FB-hydroroot-7,108
0.66,e11,20-06-10-FB-hydroroot-8,113
2.02,e15,200619-YBFB-e15-1-cut-n-flow-archi0,96
2.11,e15,200619-YBFB-e15-2-cut-n-flow-archi2,68
1.16,e15,200703-YBFB-e15-3-cut-n-flow-archi2,72
1.36,e15,200721-YBFB-e15-1-cut-n-flow-archi0,62
1,e15,200721-YBFB-e15-2-cut-n-flow-archi0,58
1.06,e15,200812-YBFB-e15-1-cut-n-flow-archi0,60
0.43,e15,200812-YBFB-e15-3-cut-n-flow-archi2,68
1.66,e15,180719-e15ch1-1,81
1.02,e15,180829-e15-3,100
0.78,e15,180829-e15-4,131
0.88,e15,20180828-YB-e15-3,101
0.84,e15,200703-YBFB-Col-3-cut-n-flow-archi2,42
0.94,e15,200724-YBFB-Col-1-cut-n-flow-archi2,53
1.18,e15,2020-01-19-9h06-cut-n-flow-archi2,43
0.74,e15,20-06-16-FB-170426_ch3G1,48
0.93,e15,20-06-16-FB-170426_ch4G1c,64
0.76,e15,200721-YBFB-Col-2-correct-scale,52
0.79,e15,200812-YBFB-col-2,51
